kind,group,index,frame,geometry,semantic,center_slot,score,patch_median,patch_points,range_m,nearest_anomaly_m
high_normal,base,27422,270,add86cdc10d8e922a4dcb876d5a3ba1ba57f87e3e155c96a04bd76786e483648,40,113238,12.5,-5.0,49,6.405808253851762,0.04601585436494946
high_normal,base,16838,277,6c2fd4759e1f9da8978e6e284fbd862a60f7ec0defc7fbf96a8b7d4a1a5f5301,40,98864,12.4375,3.875,9,8.532066841856157,0.05373710728605293
high_normal,base,30051,268,bac3aeadc01b118641acb54dce9272daea4ba71e1c02266a821f4a35f4811192,40,103987,12.4375,-4.5,38,7.589906878093922,0.049061044462833145
high_normal,base,4425,289,26b45540ad8a07fe8b67b602841142285851c50c62381f6ce3a1425c31a24dd7,50,78819,12.0625,11.21875,2,23.06781104486894,0.32413969010629295
high_normal,base,28738,346,b211ce8707fb37d5e9f848219abed970008698d9b8a39525340d66652f9b7d1a,10,89476,11.5625,7.5,17,12.577204304595666,0.27521220955999726
high_normal,base,37517,328,f30b7fb47a6f233e8e0d542dbb078f7e709081b1d49fe569be6d2afcbc64fe34,48,74251,11.5,10.46875,2,19.624766459436717,0.12401203236946055
high_normal,base,4232,33,25fb399a85a18f69f29b4eee6300d67b2879d2b34287d4285b0089a567d195e0,40,119494,11.1875,-6.28125,49,6.197403001085056,0.051790724728738434
high_normal,base,37250,143,ed7c724cd81434737d30a6fa9bb21706cbf0e0987dd22eb05b4bad6116d5fdff,51,77283,11.125,-17.5,19,11.242092955806225,0.34498886005589385
high_normal,targeted,40269,18,proxy-001,40,104039,12.0,1.9609375,32,7.8359029789535795,0.051403564896044425
high_normal,targeted,40179,347,proxy-000,48,104203,11.0,1.59765625,24,8.74689232982378,0.22025737972401566
high_normal,targeted,40705,53,proxy-008,40,112898,9.0,-7.046875,74,6.424807628190359,0.04133130204912444
high_normal,targeted,40507,58,proxy-005,40,111680,8.375,-6.09375,40,8.018005735432865,0.05343644109571048
high_normal,targeted,40569,112,proxy-006,40,97617,7.59375,3.6875,9,12.395291445094346,0.2667800844757164
high_normal,targeted,40996,93,proxy-010,40,116044,7.59375,4.5,5,9.499065129217806,0.7190624677550106
high_normal,targeted,40315,145,proxy-002,40,109813,7.53125,-2.39453125,22,9.993449331193258,0.08314518450084322
high_normal,targeted,40342,176,proxy-003,40,119464,7.15625,-6.578125,52,6.5953944127571,0.04033228533988136
high_normal,normal_nuscenes,41317,197,scene-0178,static.manmade,523,16.25,13.375,24,5.396399788289878,
high_normal,normal_nuscenes,41458,338,scene-0514,vehicle.car,29236,12.375,12.3125,2,27.739340184349555,
high_normal,normal_nuscenes,41518,398,scene-0530,flat.sidewalk,12843,12.1875,5.75,33,5.739946493638038,
high_normal,normal_nuscenes,41318,198,scene-0315,static.manmade,20498,11.5625,9.6875,15,9.119913476843337,
high_normal,normal_nuscenes,41681,561,scene-0980,movable_object.barrier,13649,10.0625,6.734375,26,6.15893227760402,
high_normal,normal_nuscenes,41722,643,scene-1017,static.manmade,33011,9.0,9.0,3,27.1766781796021,
high_normal,normal_nuscenes,41200,40,scene-0125,static.manmade,4083,8.75,7.578125,10,11.453926318416563,
high_normal,normal_nuscenes,41377,257,scene-0377,flat.terrain,16395,8.3125,-0.173828125,35,5.969871018885791,
high_normal,normal_stu,42190,388,206,40,101947,3.421875,-9.1875,47,7.895362403235982,
high_normal,normal_stu,42250,448,206,48,90025,1.59375,0.748046875,4,17.92018596834637,
high_normal,normal_stu,42235,433,206,40,88015,1.4921875,1.2265625,5,19.862689528811877,
high_normal,normal_stu,41996,194,206,50,81360,1.484375,1.2734375,3,10.225142170412123,
high_normal,normal_stu,41832,30,206,10,83541,1.34375,1.34375,1,21.970655136683106,
high_normal,normal_stu,42071,269,206,10,70083,0.8359375,-1.21875,5,23.933709728455607,
high_normal,normal_stu,42145,343,206,48,126732,0.80078125,-12.0625,142,5.483846721215409,
high_normal,normal_stu,42131,329,206,40,83679,0.7734375,-14.6875,7,19.616661117380854,
low_anomaly,base,25699,83,a214ff76540a63964cc72a57b280cc7c3c708a1c7a47c054b5ec6c509a689041,2,124144,-2.1875,-1.419921875,2,9.350367405189402,
low_anomaly,base,27131,83,ad2aca783b935c76f0b9a1b4d9cea290be7095f36322d63b5a4f29d624c4bc86,2,116993,-0.064453125,1.125,7,10.311694327914765,
low_anomaly,base,39740,17,fbdb7b4bfc225b0880bba5c750df80ca2b6f4122f840dc0f971092cec6fcc7e6,2,104588,0.625,3.671875,11,9.115108473353128,
low_anomaly,base,12655,167,572af75d545cf374f334aeb9aed8ed6fc6acfa55199cd54ffc04da004fb3a31a,2,108660,0.77734375,10.1875,17,11.88384806641789,
low_anomaly,base,24321,209,98cd8d1daddbd2ab4186632b8a0c76f7ce6941c60e3b81c7c6c325ec3b820493,2,126050,0.83984375,1.87109375,8,5.860037528345773,
low_anomaly,base,819,118,0a3b2eb5a2f7fbe8d71f6cdaffecf7a0d4aa7bcf34f01d0d327a3681643227d5,2,122467,0.875,6.03125,9,5.700930186749182,
low_anomaly,base,33605,149,d4ba9a9129422292821c3ff6623a25a260baccc9fdcf6a55150380cbca611605,2,86139,1.0546875,1.9921875,5,15.028603576432175,
low_anomaly,base,19943,34,7a792582d776158a40b0b2448e7b4574714d1381ccf4da73e6b2e4532f796ec6,2,124630,1.6640625,7.40625,54,5.675349573647525,
low_anomaly,targeted,40589,45,proxy-007,2,98801,-13.3125,-10.6875,5,13.427991107584457,
low_anomaly,targeted,40775,123,proxy-009,2,70160,-2.953125,-2.78125,3,35.90381160510249,
low_anomaly,targeted,41004,276,proxy-011,2,74265,0.94921875,1.5234375,5,20.651431635908043,
low_anomaly,targeted,41003,104,proxy-010,2,125191,1.7578125,2.3203125,6,8.13487905880308,
low_anomaly,targeted,40436,120,proxy-004,2,106752,2.4375,4.171875,14,10.343792216808097,
low_anomaly,targeted,40560,113,proxy-005,2,92111,3.171875,4.78125,5,18.527082305002114,
low_anomaly,targeted,40230,415,proxy-000,2,87959,3.890625,4.265625,4,18.7233499523311,
low_anomaly,targeted,40705,53,proxy-008,2,111869,5.65625,16.0,49,6.450941927666929,
