index,group,frame,geometry,center_slot,score,raw_semantic,nearest_anomaly_m,center_label_consistent,center_ray_foreground,center_inside_shape,label_and_local_visibility_consistent,occlusion_mismatches,normal_inside_shape,anomaly_5cm,anomaly_10cm,anomaly_20cm,anomaly_40cm,anomaly_80cm
27422,base,270,add86cdc10d8e922a4dcb876d5a3ba1ba57f87e3e155c96a04bd76786e483648,113238,12.5,40,0.04601585436494946,True,False,False,True,0,0,0,0,0,27,61
16838,base,277,6c2fd4759e1f9da8978e6e284fbd862a60f7ec0defc7fbf96a8b7d4a1a5f5301,98864,12.4375,40,0.05373710728605293,True,False,False,True,0,0,0,1,1,13,13
30051,base,268,bac3aeadc01b118641acb54dce9272daea4ba71e1c02266a821f4a35f4811192,103987,12.4375,40,0.049061044462833145,True,False,False,True,0,0,1,2,3,11,15
4425,base,289,26b45540ad8a07fe8b67b602841142285851c50c62381f6ce3a1425c31a24dd7,78819,12.0625,50,0.32413969010629295,True,False,False,True,0,0,0,0,0,3,20
28738,base,346,b211ce8707fb37d5e9f848219abed970008698d9b8a39525340d66652f9b7d1a,89476,11.5625,10,0.27521220955999726,True,False,False,True,0,0,0,0,0,1,3
37517,base,328,f30b7fb47a6f233e8e0d542dbb078f7e709081b1d49fe569be6d2afcbc64fe34,74251,11.5,48,0.12401203236946055,True,False,False,True,0,0,0,0,0,7,11
4232,base,33,25fb399a85a18f69f29b4eee6300d67b2879d2b34287d4285b0089a567d195e0,119494,11.1875,40,0.051790724728738434,True,False,False,True,0,0,0,1,1,1,1
37250,base,143,ed7c724cd81434737d30a6fa9bb21706cbf0e0987dd22eb05b4bad6116d5fdff,77283,11.125,51,0.34498886005589385,True,False,False,True,0,0,0,0,0,6,6
40269,targeted,18,proxy-001,104039,12.0,40,0.051403564896044425,True,False,False,True,0,0,0,2,11,28,31
40179,targeted,347,proxy-000,104203,11.0,48,0.22025737972401566,True,False,False,True,0,0,0,0,0,10,10
40705,targeted,53,proxy-008,112898,9.0,40,0.04133130204912444,True,False,False,True,0,0,0,2,11,15,15
40507,targeted,58,proxy-005,111680,8.375,40,0.05343644109571048,True,False,False,True,0,0,0,2,8,8,14
40569,targeted,112,proxy-006,97617,7.59375,40,0.2667800844757164,True,False,False,True,0,0,0,0,0,2,2
40996,targeted,93,proxy-010,116044,7.59375,40,0.7190624677550106,True,False,False,True,0,0,0,0,0,0,0
40315,targeted,145,proxy-002,109813,7.53125,40,0.08314518450084322,True,False,False,True,0,0,0,1,4,11,11
40342,targeted,176,proxy-003,119464,7.15625,40,0.04033228533988136,True,False,False,True,0,0,0,0,1,2,34
