frames,layer,pairs,relative_rms_difference,median_cosine_similarity,rms_feature_a,rms_feature_b,median_vector_difference
145-146,input_xyzi,193,0.00509338110559592,0.9999992499034603,2.2539635669895506,2.255100220811666,0.01703844988059555
145-146,input_offset,193,1.115624358747522,0.834845396319862,0.28834600615387573,0.2861877734795625,0.2999962389602796
145-146,embedding,193,0.3625903526469946,0.9506718168189772,0.5444573135207592,0.5458734314611634,1.0084072853538317
145-146,voxel_pool,193,0.395206011278529,0.9875421570915712,2.5745324646640806,2.600859473625629,5.023576480633639
145-146,adapter,193,0.4131194824580681,0.9918583654544172,0.16506269543527158,0.16557587027470722,0.13692968309352074
145-146,encoder_input,193,0.4339288674796477,0.9323115985314917,0.4773431084674691,0.47845367497011404,1.035802401657762
145-146,enc0.block0,193,0.47687783353294705,0.9050239651005553,0.9452415398256019,0.9494058027634829,2.438765644583753
145-146,enc0.block1,193,0.38086243224874067,0.9431030998161389,1.521113349442012,1.5244871609786523,3.125656766901058
145-146,enc0,193,0.38086243224874067,0.9431030998161389,1.521113349442012,1.5244871609786523,3.125656766901058
145-146,enc1.pool,193,0.5628247400327726,0.8599748106650371,0.8450348186335017,0.8427118951036645,4.039350960875871
145-146,enc1.block0,193,0.6083046753164172,0.8469574768042133,1.092205767517285,1.0956361623491593,5.190143406837538
145-146,enc1.block1,193,0.5486166733880772,0.8834106853140088,1.5475606155064674,1.5639855826982945,6.370766616213555
145-146,enc1,193,0.5486166733880772,0.8834106853140088,1.5475606155064674,1.5639855826982945,6.370766616213555
145-146,enc2.pool,193,0.5281169514630792,0.901622349113825,1.0656582645935984,1.0351654143023368,5.95261117698108
145-146,enc2.block0,193,0.5290297386152092,0.9019721473743083,1.2908916937850354,1.2543988570937,7.206294996416978
145-146,enc2.block1,193,0.46957625647708495,0.9224018383357112,1.7600378307700213,1.7023148076568364,8.907167133675895
145-146,enc2,193,0.46957625647708495,0.9224018383357112,1.7600378307700213,1.7023148076568364,8.907167133675895
145-146,enc3.pool,193,0.42365389409759413,0.9555759966931865,1.1096247785550792,0.9087900948056573,6.841899889495246
145-146,enc3.block0.attn_input,193,0.4780406713013859,0.9203630614002447,0.8054112926961016,0.7978517718193486,5.100406902863645
145-146,enc3.block0.attn_output,193,0.6002091536123944,0.8580600225325229,0.5301239083448078,0.4634681254713281,4.5208169858923295
145-146,enc3.block0,193,0.42791444077569846,0.9375545724331473,1.5322005546595858,1.475975348262208,8.827692453289336
145-146,enc3.block1.attn_input,193,0.40345061156587697,0.9458592410967323,0.8298769324176395,0.8255168356717134,4.318804989055927
145-146,enc3.block1.attn_output,193,0.7010483648664355,0.7863820497912614,0.4750487056462565,0.42507383426706813,4.6385795646081265
145-146,enc3.block1,193,0.4253842894643919,0.9287909471823288,1.4490818002362913,1.4047941806419912,8.635050853409973
145-146,enc3.block2.attn_input,193,0.367162781619507,0.9471908165612577,0.8838086802551818,0.881559424877453,4.565202203085592
145-146,enc3.block2.attn_output,193,0.7989500332599608,0.7497193944584264,0.6050100461363619,0.618045006384658,6.739619419367656
145-146,enc3.block2,193,0.46513985380887185,0.9085892453989367,1.619138756187206,1.629635235538561,10.996598253180684
145-146,enc3.block3.attn_input,193,0.3941072705020393,0.9332979534400807,0.8878569709214353,0.8845439046806464,5.139521403150338
145-146,enc3.block3.attn_output,193,0.6319844002855491,0.8195691550820334,0.8533424572470852,0.7933170681460062,7.849500016704575
145-146,enc3.block3,193,0.46947707160154484,0.8967368618476119,1.837696650865647,1.8471310350408994,13.098788298800429
145-146,enc3.block4.attn_input,193,0.409547633309914,0.9212157660619248,0.9239535835047414,0.9190782866277342,5.80893998212017
145-146,enc3.block4.attn_output,193,0.6847340751609109,0.7828632083401496,1.3251501258945848,1.118644563243783,13.088210179736183
145-146,enc3.block4,193,0.5141697727247014,0.8755596265688899,2.3557275873640227,2.1601277956255114,18.04157783900218
145-146,enc3.block5.attn_input,193,0.44471282238277193,0.9047587710342676,0.9108465331859382,0.8924570278826225,6.264696113896928
145-146,enc3.block5.attn_output,193,0.7509543899478166,0.7347634281173918,1.5944826187058991,1.3367484309973934,17.32217192467406
145-146,enc3.block5,193,0.6397150094746299,0.8064579923770792,2.3382802224914765,2.0681308592890066,22.113774956185658
145-146,enc3,193,0.6397150094746299,0.8064579923770792,2.3382802224914765,2.0681308592890066,22.113774956185658
145-146,enc4.pool,193,0.8122848476027621,0.7862251929468675,0.608593453637227,0.36659223852195993,8.91117320232949
145-146,enc4.block0.attn_input,193,0.6355056471384483,0.8166768598934764,0.7472689530395967,0.7228204980678558,10.031962987960743
145-146,enc4.block0.attn_output,193,0.8382248081436626,0.6636675106489818,4.290883435003084,3.707064345150808,74.9086189351974
145-146,enc4.block0,193,0.7804887493406534,0.7209245620592453,5.7902539254691385,4.702379967612998,91.55970797672465
145-146,enc4.block1.attn_input,193,0.6544647684101791,0.793594569747128,0.7753820452976542,0.7239436917808906,10.885021424155678
145-146,enc4.block1.attn_output,193,0.9448318367745365,0.59074807026999,4.20328833058722,3.1786736447245474,76.16028409479074
145-146,enc4.block1,193,0.9529008427725209,0.6055089862393173,6.366053745480277,4.163619740597626,112.96528536131098
145-146,enc4,193,0.9529008427725209,0.6055089862393173,6.366053745480277,4.163619740597626,112.96528536131098
145-146,dec3,193,1.0814724051342333,0.5910912010098889,0.6995723281125493,0.29953466424423636,9.065494511232929
145-146,dec2,193,1.003131796394289,0.6022678387909008,0.6201118024244799,0.3381682108798426,6.046668438577682
145-146,dec1,193,0.9699863869470748,0.6189998262339679,0.7019539775889011,0.4156131570153228,4.703784720512928
145-146,dec0,193,1.3277876294929887,0.11651907980453198,0.9378333398146389,0.40801930380894413,7.988161663475392
145-146,context,193,1.9184672700480394,-0.9179153800588851,1.6230031171131696,1.6347341428404167,24.6838658870838
145-146,detail,193,0.4346239350082047,0.9938255505596993,2.624558237165819,2.657582795702103,2.5529710737260194
145-146,sampling,193,0.6138978935177805,0.9858991361512572,0.5303422182767813,0.5234733784115542,0.7071560636230443
145-146,head_input,193,1.835091801986923,-0.7622755574552119,1.2073528868242709,1.2137504059059665,24.880639200411405
145-146,head_linear,193,1.8509133647776819,-0.8149160440404802,5.811682293774077,6.213541794883626,87.64295905254887
145-146,head_gelu,193,1.4134934109962907,-0.0004977993020676421,2.5125624798545068,5.046822507346255,42.20945490707048
145-146,score,193,1.7993169122510355,-1.0,5.0515374174875,12.858136609024932,16.90625
146-147,input_xyzi,214,0.004278183736707028,0.9999995316585828,2.2543850604889055,2.253910666783344,0.015764658078573444
146-147,input_offset,214,1.0925496961660055,0.781269770272279,0.2880576923738994,0.2863280887396853,0.27999970155326426
146-147,embedding,214,0.3141734992535317,0.9665320487253335,0.5516562406303247,0.539400891130485,0.820977758928827
146-147,voxel_pool,214,0.39477038584569635,0.9816286680103314,2.574322332104766,2.55600147892257,6.086202426053899
146-147,adapter,214,0.42192843612794806,0.9906245169602435,0.16496472277716384,0.16394266200988367,0.1437057862942348
146-147,encoder_input,214,0.3877203181200222,0.9500142237880824,0.4838086309578039,0.47107977232137527,0.8743776232046918
146-147,enc0.block0,214,0.440758663681783,0.9268505842288296,0.9528351090333506,0.9374829325020693,2.159577284459246
146-147,enc0.block1,214,0.35922181922235225,0.9487762187870512,1.527867996492615,1.515681496151311,2.9693686135138475
146-147,enc0,214,0.35922181922235225,0.9487762187870512,1.527867996492615,1.515681496151311,2.9693686135138475
