normal,anomaly,AP,AUROC,FPR95,threshold,sequence,frame,scan,global95_TP,global95_FP,global95_FN,global95_TN,global95_precision_pct,global95_recall_pct,global95_fpr_pct,normal_p99_9,anomaly_p50,global50_TP,global50_FP,global50_FN,global50_TN,global50_precision_pct,global50_recall_pct,global50_fpr_pct,global75_TP,global75_FP,global75_FN,global75_TN,global75_precision_pct,global75_recall_pct,global75_fpr_pct,global90_TP,global90_FP,global90_FN,global90_TN,global90_precision_pct,global90_recall_pct,global90_fpr_pct,global99_TP,global99_FP,global99_FN,global99_TN,global99_precision_pct,global99_recall_pct,global99_fpr_pct
102306,25,30.68677189345332,99.70742673938969,0.7213653158172542,-1.65625,125,0,/home/jasongao/Data/STU/val/125/velodyne/000000.bin,24,1353,1,100953,1.7429193899782136,96.0,1.3225030789982992,4.53125,5.6875,2,0,23,102306,100.0,8.0,0.0,16,261,9,102045,5.776173285198556,64.0,0.25511700193537035,24,900,1,101406,2.5974025974025974,96.0,0.8797137997771391,25,4003,0,98303,0.6206554121151936,100.0,3.912771489453209
102315,25,47.97649992292236,99.64273078238772,0.7926501490495039,-2.609375,125,1,/home/jasongao/Data/STU/val/125/velodyne/000001.bin,24,1389,1,100926,1.6985138004246285,96.0,1.3575722034892244,5.03125,2.953125,7,0,18,102315,100.0,28.0,0.0,12,286,13,102029,4.026845637583893,48.0,0.2795289058300347,24,915,1,101400,2.5559105431309903,96.0,0.8942970238967893,25,4022,0,98293,0.6177415369409439,100.0,3.930997409959439
102295,26,30.44800695939327,99.61786612624874,0.9990713133584241,-5.75,125,2,/home/jasongao/Data/STU/val/125/velodyne/000002.bin,25,1339,1,100956,1.8328445747800586,96.15384615384616,1.3089593821789922,1.8125,0.01165771484375,4,5,22,102290,44.44444444444444,15.384615384615385,0.004887824429346498,13,59,13,102236,18.055555555555557,50.0,0.05767632826628868,24,783,2,101512,2.973977695167286,92.3076923076923,0.7654333056356616,26,4357,0,97938,0.593201003878622,100.0,4.2592502077325385
102296,25,7.817649282568845,99.60794165949793,0.7448971611793228,-4.1875,125,3,/home/jasongao/Data/STU/val/125/velodyne/000003.bin,24,1147,1,101149,2.049530315969257,96.0,1.1212559630875107,3.1875,2.953125,0,4,25,102292,0.0,0.0,0.003910221318526629,12,115,13,102181,9.448818897637794,48.0,0.11241886290764057,23,731,2,101565,3.050397877984085,92.0,0.7145929459607414,25,4456,0,97840,0.5579111805400581,100.0,4.355986548838664
102304,25,41.99232694914433,99.88074757585235,0.36557710353456363,-0.23046875,125,4,/home/jasongao/Data/STU/val/125/velodyne/000004.bin,24,1237,1,101067,1.9032513877874702,96.0,1.209141382546137,2.46875,6.65625,2,0,23,102304,100.0,8.0,0.0,18,76,7,102228,19.148936170212767,72.0,0.07428839537066,24,741,1,101563,3.1372549019607843,96.0,0.7243118548639349,25,4417,0,97887,0.5628095452498875,100.0,4.317524241476384
102300,24,51.27006826218054,99.62467416096447,1.0439882697947216,-6.375,125,5,/home/jasongao/Data/STU/val/125/velodyne/000005.bin,23,1274,1,101026,1.7733230531996915,95.83333333333333,1.2453567937438905,4.25,4.21875,9,0,15,102300,100.0,37.5,0.0,13,210,11,102090,5.829596412556054,54.166666666666664,0.20527859237536658,21,804,3,101496,2.5454545454545454,87.5,0.7859237536656891,24,4003,0,98297,0.5959771542090887,100.0,3.9130009775171066
102290,25,50.791636738305655,99.62049076156026,0.8847394662234822,-4.875,125,6,/home/jasongao/Data/STU/val/125/velodyne/000006.bin,24,1275,1,101015,1.8475750577367205,96.0,1.2464561540717567,4.15625,6.46875,9,0,16,102290,100.0,36.0,0.0,13,206,12,102084,5.936073059360731,52.0,0.2013882099912015,23,819,2,101471,2.7315914489311166,92.0,0.800664776615505,25,4003,0,98287,0.6206554121151936,100.0,3.913383517450386
102281,24,11.452124376908527,99.60448014131006,1.3091385496817591,-7.78125,125,7,/home/jasongao/Data/STU/val/125/velodyne/000007.bin,23,1364,1,100917,1.658255227108868,95.83333333333333,1.3335810170021802,4.5,3.484375,0,0,24,102281,,0.0,0.0,15,262,9,102019,5.415162454873646,62.5,0.2561570575180141,20,901,4,101380,2.1715526601520088,83.33333333333333,0.8809065222279798,24,4003,0,98278,0.5959771542090887,100.0,3.9137278673458415
102283,24,54.06267073786633,99.86599679321098,0.6227818894635472,-2.359375,125,8,/home/jasongao/Data/STU/val/125/velodyne/000008.bin,24,1210,0,101073,1.9448946515397083,100.0,1.182992286108151,3.375,3.953125,5,0,19,102283,100.0,20.833333333333332,0.0,15,142,9,102141,9.554140127388536,62.5,0.13883049969203093,23,756,1,101527,2.952503209242619,95.83333333333333,0.7391257589237703,24,4281,0,98002,0.5574912891986062,100.0,4.185446261842144
102283,25,51.115767320335394,99.75745725096058,0.7361927201978823,-2.609375,125,9,/home/jasongao/Data/STU/val/125/velodyne/000009.bin,24,1386,1,100897,1.702127659574468,96.0,1.3550638913602455,3.125,3.78125,10,0,15,102283,100.0,40.0,0.0,14,108,11,102175,11.475409836065573,56.0,0.10558939413196719,24,854,1,101429,2.733485193621868,96.0,0.8349383573027775,25,4309,0,97974,0.5768343331795108,100.0,4.212821289950432
102287,24,6.033969667020641,99.62120471483831,1.262134973163745,-6.625,125,10,/home/jasongao/Data/STU/val/125/velodyne/000010.bin,24,1520,0,100767,1.5544041450777202,100.0,1.486014840595579,6.3125,3.109375,0,5,24,102282,0.0,0.0,0.004888206712485458,13,446,11,101841,2.832244008714597,54.166666666666664,0.43602803875370283,21,957,3,101330,2.147239263803681,87.5,0.9356027647697166,24,4492,0,97795,0.5314437555358724,100.0,4.391564910496935
102282,25,57.84464086958747,99.83232631352537,0.8271250073326686,-4.8125,125,11,/home/jasongao/Data/STU/val/125/velodyne/000011.bin,25,1224,0,101058,2.00160128102482,100.0,1.1966914999706693,2.859375,7.0625,1,0,24,102282,100.0,4.0,0.0,16,98,9,102184,14.035087719298245,64.0,0.09581353512837058,22,771,3,101511,2.7742749054224465,88.0,0.7537983222854461,25,4506,0,97776,0.5517545795630103,100.0,4.405467237637121
102273,24,37.290636859543305,99.6613434956766,1.1263969962746767,-5.125,125,12,/home/jasongao/Data/STU/val/125/velodyne/000012.bin,23,1549,1,100724,1.4631043256997456,95.83333333333333,1.514573738914474,5.4375,5.1875,2,1,22,102272,66.66666666666667,8.333333333333334,0.0009777751703773235,15,354,9,101919,4.065040650406504,62.5,0.3461324103135725,22,967,2,101306,2.224469160768453,91.66666666666667,0.9455085897548717,24,4289,0,97984,0.5564572223510318,100.0,4.19367770574834
