normal,anomaly,AP,AUROC,FPR95,threshold,group,anomaly_fraction_pct,normal_p99_9,anomaly_p50,global50_TP,global50_FP,global50_FN,global50_TN,global50_precision_pct,global50_recall_pct,global50_fpr_pct,global75_TP,global75_FP,global75_FN,global75_TN,global75_precision_pct,global75_recall_pct,global75_fpr_pct,global90_TP,global90_FP,global90_FN,global90_TN,global90_precision_pct,global90_recall_pct,global90_fpr_pct,global95_TP,global95_FP,global95_FN,global95_TN,global95_precision_pct,global95_recall_pct,global95_fpr_pct,global99_TP,global99_FP,global99_FN,global99_TN,global99_precision_pct,global99_recall_pct,global99_fpr_pct
193792470,87499,62.57595777404127,99.86368090200735,0.47302560311037883,-7.96875,all,0.04513050030454668,-0.7109375,10.0625,44000,11690,43499,193780780,79.00879870712875,50.28628898615984,0.006032226123130584,65655,80815,21844,193711655,44.82487881477436,75.0351432587801,0.04170182670152251,78758,372893,8741,193419577,17.437800425549817,90.01017154481765,0.1924187250412774,83136,916688,4363,192875782,8.315063451167406,95.01365729894056,0.47302560311037883,86632,4955243,867,188837227,1.7182496591049956,99.0091315329318,2.5569842832386627
21450882,25871,31.411821231834097,99.52438241277201,1.6591672081362436,-12.3125,sequence:125,0.12046048115373865,2.390625,0.6875,1426,556,24445,21450326,71.94752774974774,5.511963202040895,0.0025919680132499914,8867,17953,17004,21432929,33.06114839671886,34.273897414093,0.08369352831272858,18861,69144,7010,21381738,21.43173683313448,72.90402381044413,0.32233639623769317,22500,134958,3371,21315924,14.289524825667797,86.969966371613,0.6291489552737272,25209,711490,662,20739392,3.4218860077182134,97.4411503227552,3.3168333124950293
156059346,66147,61.46196562406221,99.8919348582521,0.40903990460142,-8.0625,range:0,0.04236784059346413,-1.28125,10.625,34670,10139,31477,156049207,77.37284920440091,52.413563729269654,0.006496887408460625,48612,57780,17535,156001566,45.691405368824725,73.49086126354936,0.03702437661118995,59239,262866,6908,155796480,18.391207835954113,89.55659364748212,0.1684397677791114,62813,624557,3334,155434789,9.138164307432678,94.95971094683054,0.4002048041390613,65467,2689919,680,153369427,2.375964746863053,98.97198663582627,1.723651334537824
28526437,16191,73.71832831512518,99.7790636585318,0.5819829514635845,-7.3125,range:1,0.05672568062057916,0.75,9.625,7524,940,8667,28525497,88.89413988657844,46.47026125625347,0.003295188950516323,13047,16116,3144,28510321,44.73819565888283,80.58180470631832,0.056494962900554314,14903,75595,1288,28450842,16.467767243474995,92.04496325118893,0.2649997965045547,15449,193931,742,28332506,7.378450663864744,95.41720709035884,0.6798290301729585,16020,1331641,171,27194796,1.1887262449532932,98.94385769872152,4.6680943715473475
6585100,4204,68.85040584964895,99.88395939881056,0.5428771013348317,-5.75,range:2,0.06380036495508479,1.1875,9.0625,1626,370,2578,6584730,81.4629258517034,38.67745004757374,0.005618745349349289,3445,4272,759,6580828,44.64170014254244,81.94576593720267,0.06487373008762205,3921,21364,283,6563736,15.507217718014633,93.26831588962892,0.3244293936310762,4084,65233,120,6519867,5.891772581040726,97.14557564224548,0.9906151766867626,4203,601908,1,5983192,0.6934373406851221,99.97621313035205,9.14045344793549
1900076,873,28.051946673021277,98.69804505462514,8.40840050608502,-13.125,range:3,0.04592443037661715,3.328125,6.09375,174,191,699,1899885,47.67123287671233,19.93127147766323,0.010052229489767778,509,2083,364,1897993,19.637345679012345,58.304696449026345,0.10962719385961403,635,10406,238,1889670,5.751290643963409,72.73768613974799,0.5476623040341544,712,25857,161,1874219,2.679814821784787,81.55784650630011,1.360840303229976,858,246666,15,1653410,0.34663305376448345,98.28178694158076,12.981901776560516
721511,84,6.6823136764577225,99.67405704338337,1.4292228392914315,-9.0625,range:4,0.01164087888635592,1.96875,2.8125,6,50,78,721461,10.714285714285714,7.142857142857143,0.006929901276626413,42,564,42,720947,6.930693069306931,50.0,0.07816928640034594,60,2662,24,718849,2.204261572373255,71.42857142857143,0.36894794396759023,78,7110,6,714401,1.0851419031719534,92.85714285714286,0.985431961536276,84,85109,0,636402,0.09859965020600284,100.0,11.795939355047947
11252206,14692,75.48253435084264,99.14335330364098,4.341388701913207,-12.0,sensor_z:0,0.1303996894264952,1.96875,9.5625,6670,335,8022,11251871,95.21770164168451,45.398856520555405,0.0029771939831176215,11346,8320,3346,11243886,57.69348113495373,77.22570106180234,0.07394105653593615,12502,50501,2190,11201705,19.843499515896067,85.09392866866322,0.4488097711684269,13268,153561,1424,11098645,7.953053725671197,90.30765042199836,1.364719060422463,14345,1102340,347,10149866,1.2846057751290652,97.63817043288864,9.796656762238445
48968072,70362,75.89904972831951,99.77550821980653,0.8441439148349562,-6.65625,sensor_z:1,0.14348337469340885,2.6875,10.5625,36805,2669,33557,48965403,93.23858742463393,52.30806401182456,0.0054504902704766486,52849,45136,17513,48922936,53.93580650099505,75.11014468036724,0.0921743457655429,64262,222987,6100,48745085,22.371531319517214,91.3305477388363,0.45537222702989,67690,544205,2672,48423867,11.062355469484144,96.20249566527387,1.1113465933476,69889,2748438,473,46219634,2.4798045081355005,99.32776214433927,5.612714341704121
49671870,2418,4.1407745483380225,99.79987307216815,0.9177005013098963,-11.625,sensor_z:2,0.004867709427460742,0.0966796875,5.125,525,8680,1893,49663190,5.7034220532319395,21.712158808933,0.01747467933057483,1453,27332,965,49644538,5.047767934688205,60.090984284532674,0.055025107772266275,1978,98555,440,49573315,1.9675131548844658,81.80314309346568,0.19841209924248876,2157,213080,261,49458790,1.0021511171406403,89.20595533498759,0.4289751925989499,2376,977957,42,48693913,0.24236662440211643,98.26302729528535,1.9688346744344434
44792482,27,9.414986159659385,99.85801870848674,0.8988517314133206,-17.0,sensor_z:3,6.02779362058062e-05,-12.75,-2.4375,0,6,27,44792476,0.0,0.0,1.3395105008916452e-05,7,27,20,44792455,20.58823529411765,25.925925925925927,6.0277972540124035e-05,16,847,11,44791635,1.853997682502897,59.25925925925926,0.0018909423237587057,21,5751,6,44786731,0.36382536382536385,77.77777777777777,0.01283920815104642,22,105732,5,44686750,0.02080299563137092,81.48148148148148,0.2360485404671257
20298846,0,,,,,sensor_z:4,0.0,-14.8125,,0,0,0,20298846,,,0.0,0,0,0,20298846,,,0.0,0,3,0,20298843,0.0,,1.4779165278656728e-05,0,91,0,20298755,0.0,,0.00044830134678592074,0,18758,0,20280088,0.0,,0.0924091940990143
18808994,0,,,,,sensor_z:5,0.0,-16.125,,0,0,0,18808994,,,0.0,0,0,0,18808994,,,0.0,0,0,0,18808994,,,0.0,0,0,0,18808994,,,0.0,0,2018,0,18806976,0.0,,0.010728909797089627
23847070,17466,85.6550692576952,99.975002303087,0.05489143949340526,1.9609375,azimuth:0,0.07318809802126469,-2.265625,12.1875,11895,2425,5571,23844645,83.06564245810056,68.10374441772586,0.010168964153667515,16434,11251,1032,23835819,59.36066461983023,94.09137753349364,0.04717980028573741,17072,30761,394,23816309,35.69084105115715,97.74418870949273,0.12899278611586246,17255,73696,211,23773374,18.971754021396137,98.79193862361159,0.30903586897677576,17447,534645,19,23312425,3.160161712178405,99.89121722203137,2.2419735422422966
24375727,0,,,,,azimuth:1,0.0,-5.03125,,0,1787,0,24373940,0.0,,0.007331063397616818,0,5909,0,24369818,0.0,,0.02424132826889635,0,17962,0,24357765,0.0,,0.07368805861667223,0,46390,0,24329337,0.0,,0.19031227253242539,0,234187,0,24141540,0.0,,0.9607385248448179
25013508,0,,,,,azimuth:2,0.0,-2.734375,,0,130,0,25013378,0.0,,0.0005197191853297826,0,4397,0,25009111,0.0,,0.017578501983808108,0,30169,0,24983339,0.0,,0.12061083155549393,0,71275,0,24942233,0.0,,0.2849460379567712,0,420476,0,24593032,0.0,,1.6809957243901974
24360229,39849,89.75357471273311,99.92339085635372,0.23601584369342343,-0.703125,azimuth:3,0.16331505169778557,3.3125,13.125,28872,1968,10977,24358261,93.61867704280155,72.45351200782956,0.008078741788511102,36460,26746,3389,24333483,57.684397050912885,91.49539511656504,0.10979371335138105,38602,93585,1247,24266644,29.202569087731774,96.87068684283169,0.3841712653850668,39175,182219,674,24178010,17.69469813996766,98.30861502170694,0.7480184196954799,39673,884016,176,23476213,4.295060350399322,99.55833270596501,3.6289314029026576
