sequence,frames,normal,anomaly,A_AP,A_AUROC,A_FPR95,A_threshold,B_AP,B_AUROC,B_FPR95,B_threshold,old_A_FN,old_B_FN,old_A_FP,old_B_FP,old_recovered,old_lost,old_fp_removed,old_fp_added,own95_A_FN,own95_B_FN,own95_A_FP,own95_B_FP,own95_recovered,own95_lost,own95_fp_removed,own95_fp_added
125,210,21450882,25871,31.411821231834097,99.52438241277203,1.6591672081362436,-12.3125,25.31505605873881,99.24156133353023,2.536562366060286,-13.375,3371,5148,134958,157552,1366,3143,35016,57610,3371,3625,134958,216391,1689,1943,22353,103786
137,46,4652268,749,34.6950036318634,99.92509367207208,0.3348259386604555,-8.1875,44.98435862106996,99.92028167164115,0.22545992621233343,-7.625,38,33,14731,11613,11,6,6629,3511,38,28,14731,19318,16,6,4685,9272
138,83,8321471,2254,95.32263223192359,99.99537852434996,0.009553599357613575,6.125,93.76552055814095,99.99599130079534,0.0096016677820544,6.46875,0,4,40537,37492,0,4,19615,16570,0,1,40537,54166,0,1,14844,28473
139,99,10201337,2844,76.71602853773508,99.9818564828403,0.04548423407637646,3.84375,84.72481594150393,99.98408006654536,0.06635404751357592,2.5625,19,19,61066,56397,1,1,22798,18129,19,4,61066,77142,16,1,16770,32846
140,75,8008759,1465,88.3131055041651,99.99444557798483,0.018055231778106945,4.09375,88.3652394847229,99.99229341641464,0.041080022510353975,2.671875,0,0,29128,30502,0,0,10018,11392,0,0,29128,45620,0,0,6329,22821
141,307,31991712,18389,74.15523385103816,99.98700268971179,0.024059356373300686,5.46875,71.05075589870144,99.9860141847698,0.025043986392475653,4.625,55,61,128747,120002,24,30,55007,46262,55,28,128747,182031,43,16,37316,90600
142,87,8365690,1596,8.422638111124078,98.69956864943444,4.880517925000807,-17.25,8.139237331871874,98.56133039716097,5.281584663070231,-16.75,522,509,37188,36870,54,41,12268,11950,522,402,37188,54040,128,8,8034,24886
143,91,7571268,3085,87.23325305395295,99.97585324253174,0.08412065191722179,1.8046875,85.72189775347212,99.97499258668417,0.14193131190178448,0.96875,22,9,39309,49267,13,0,13232,23190,22,8,39309,67183,14,0,9047,36921
144,79,7455833,4508,91.02728074274145,99.99413015633658,0.011051749683771083,6.59375,96.87442619596774,99.99751984885873,0.009053314364739662,6.78125,2,0,24843,24842,2,0,8724,8723,2,0,24843,35951,2,0,6149,17257
145,92,8379629,3712,91.0041118249809,99.99290016872497,0.0341184556022707,1.890625,90.6267353469032,99.99087931096929,0.05309304266334464,2.3125,1,0,31033,34372,1,0,10920,14259,1,0,31033,47311,1,0,8275,24553
146,57,5166306,1455,76.02335624170563,99.9735882726861,0.08712221072464543,-1.7578125,79.44365849162722,99.9735020411927,0.11925348595301943,-1.1796875,15,8,22472,25378,7,0,7446,10352,15,5,22472,36289,10,0,5238,19055
147,111,10820924,2811,68.79893336161548,99.98424811863906,0.04027382504488526,3.984375,74.63297640604716,99.98957607539717,0.02555234654637626,4.75,14,4,53065,56925,10,0,15227,19087,14,3,53065,79575,11,0,9449,35959
148,115,11781979,3050,60.50501416312447,99.98633360905266,0.03129355433412333,4.3125,68.12998576321739,99.98948444213258,0.01992025278605572,5.625,10,6,51273,53153,5,1,18518,20398,10,6,51273,78193,5,1,12695,39615
149,102,10115079,2800,61.94287212813878,99.97695993561409,0.038951747188529125,3.03125,66.64103555297478,99.98039174801727,0.05812114764501593,2.46875,18,15,49333,46876,6,3,18884,16427,18,8,49333,66699,10,0,13423,30789
150,156,15720518,5344,79.43446499379304,99.96880246080808,0.03202184559058423,4.09375,84.1218756108023,99.96744161816935,0.027359149361363282,3.859375,75,64,82510,73009,22,11,35974,26473,75,54,82510,108533,26,5,25526,51549
151,51,4798697,1054,79.9848546284412,99.990088124092,0.019901235689604908,4.1875,89.94960239676575,99.99297878267849,0.01683790412272331,5.25,2,2,17746,24188,0,0,5208,11650,2,0,17746,33456,2,0,3953,19663
152,61,5935012,1029,64.9777019738314,99.89510168799576,0.6094511687592207,-10.375,70.80897352022788,99.78741247299762,1.277840718771925,-12.6875,81,106,21277,22753,6,31,8626,10102,81,92,21277,35199,9,20,5291,19213
153,75,6498230,3149,95.4699266378477,99.9954848173335,0.012695764846735189,7.46875,96.08001242070367,99.99496031756948,0.008756230542778572,7.34375,0,3,34957,33525,0,3,15688,14256,0,0,34957,47355,0,0,12521,24919
169,63,6556876,2334,60.39556747906687,99.85080207391887,0.6601009383126965,-8.0,67.6284569238907,99.80701033254769,0.6700599492807245,-8.9375,118,135,42515,28168,22,39,22642,8295,118,96,42515,62158,34,12,13126,32769
